2179	102.638901000	0x0304	1	51
2181	102.714712000	0x0304	1	51
2183	102.716309000	0x0304	1	51
2185	102.774694000	0x0304	1	51
2187	102.837322000	0x0304	1	51
2188	102.838382000	0x025d	0	64
2191	102.840321000	0x025d	0	64
2195	102.841877000	0x025d	0	64
2201	102.875779000	0x0304	1	51
2203	103.428707000	0x0304	1	51
2205	104.580615000	0x025d	0	64
2207	104.582332000	0x025d	0	64
2209	104.583836000	0x025d	0	64
2217	104.943983000	0x0305	1	10
2219	106.191259000	0x025d	0	64
2221	106.192943000	0x025d	0	64
2225	106.194497000	0x025d	0	64
2231	106.939468000	0x0305	1	10
2233	107.037743000	0x0305	1	10
2235	107.815280000	0x0305	1	10
2237	107.844677000	0x025d	0	64
2239	107.846309000	0x025d	0	64
2241	107.847788000	0x025d	0	64
2249	107.967214000	0x0305	1	10
2251	110.244069000	0x025d	0	64
2253	110.245687000	0x025d	0	64
2255	110.247279000	0x025d	0	64
2263	110.614063000	0x0304	1	51
2265	110.615795000	0x0304	1	51
2267	110.653434000	0x0304	1	51
2269	110.718078000	0x0304	1	51
2271	110.781200000	0x0304	1	51
2273	110.846182000	0x0304	1	51
2275	110.910735000	0x0304	1	51
2277	110.912391000	0x0304	1	51
2279	110.973418000	0x0304	1	51
2281	110.975042000	0x0304	1	51
2283	111.037255000	0x0304	1	51
2285	111.038769000	0x0304	1	51
2287	111.101777000	0x0304	1	51
2289	111.103105000	0x0304	1	51
2291	111.165682000	0x0304	1	51
2293	111.167269000	0x0304	1	51
2295	111.231172000	0x0304	1	51
2297	111.232718000	0x0304	1	51
2299	111.294719000	0x0304	1	51
2301	111.296028000	0x0304	1	51
2303	111.359238000	0x0304	1	51
2305	111.360810000	0x0304	1	51
2307	111.422476000	0x0304	1	51
2309	111.423894000	0x0304	1	51
2311	111.485829000	0x0304	1	51
2313	111.487211000	0x0304	1	51
2315	111.549508000	0x0304	1	51
2317	111.550851000	0x0304	1	51
2319	111.614191000	0x0304	1	51
2321	111.615656000	0x0304	1	51
2323	111.677619000	0x0304	1	51
2325	111.679193000	0x0304	1	51
2327	111.741607000	0x0304	1	51
2329	111.742798000	0x0304	1	51
2331	111.805267000	0x0304	1	51
2333	111.806792000	0x0304	1	51
2335	111.871607000	0x0304	1	51
2337	111.933890000	0x0304	1	51
2339	111.935231000	0x0304	1	51
2341	111.999082000	0x0304	1	51
2343	112.061117000	0x0304	1	51
2345	112.062681000	0x0304	1	51
2347	112.127057000	0x0304	1	51
2349	112.190733000	0x0304	1	51
2351	112.192284000	0x0304	1	51
2353	112.254699000	0x0304	1	51
2355	112.318859000	0x0304	1	51
2357	112.320487000	0x0304	1	51
2359	112.381792000	0x0304	1	51
2361	112.445252000	0x0304	1	51
2363	112.509552000	0x0304	1	51
2365	112.511071000	0x0304	1	51
2367	112.573784000	0x0304	1	51
2369	112.637606000	0x0304	1	51
2371	112.639303000	0x0304	1	51
2373	112.701955000	0x0304	1	51
2375	112.703306000	0x0304	1	51
2377	112.765508000	0x0304	1	51
2379	112.767046000	0x0304	1	51
2381	112.829455000	0x0304	1	51
2383	112.830980000	0x0304	1	51
